번호,식당(ID),식당명,지역명,식당이미지(URL),식당상태
10492,51209,59피자 59쌀피자 전주송천1호점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/51209_55209287.jpg,미확인
10512,52848,카페스타치오,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/52848_274102336.jpg,운영중
10513,52848,카페스타치오,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/52848_1702005416.jpg,운영중
10521,54188,우리술 오늘,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/54188_265758974.jpg,폐업
10522,54188,우리술 오늘,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/54188_1075273538.jpg,폐업
10546,57722,Angel-in-us 엔제리너스 전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/57722_1469893440.jpg,운영중
10547,57722,Angel-in-us 엔제리너스 전북대점,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/57722_409597966.jpg,운영중
10557,60125,Cafe YENA,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/60125_2015483150.jpg,미확인
10558,60125,Cafe YENA,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/60125_1969731455.jpg,미확인
10560,60205,RIUOOM 2nd,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/60205_2116250970.jpg,폐업
10561,60205,RIUOOM 2nd,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/60205_515074218.jpg,폐업
10577,61599,테이크아웃치킨&오븐,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/61599_1767699895.jpg,미확인
10579,61812,슈퍼떡볶킹,전북특별자치도 전주시,https://ukcooyocdlvo8099722.cdn.ntruss.com/public_data/2020-12/restaurant/61812_1671167687.jpg,미확인
